Instancia | Area Maxima | Tempo (s)
cgcut1.txt | 98 | 2.2728
cgcut2.txt | 2188 | 4.3175
ed1.txt | 38 | 0.7591
ed3.txt | 105 | 0.5508
ngcut1.txt | 75 | 0.8895
ngcut10.txt | 660 | 0.9604
ngcut11.txt | 651 | 1.8531
ngcut12.txt | 792 | 2.7678
ngcut2.txt | 83 | 1.7649
ngcut3.txt | 90 | 3.2219
ngcut4.txt | 108 | 1.2557
ngcut5.txt | 130 | 1.7705
ngcut6.txt | 142 | 3.1987
ngcut7.txt | 154 | 1.1687
ngcut8.txt | 312 | 2.1816
ngcut9.txt | 372 | 3.0410
